epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.56,1.0112,2.62738,1.23952,0.63572,0.50797,0.48256,0.36185,1.01157,2.2586,1.35935,0.0766,0.0026,0.0026
2,676.227,0.83681,1.29285,1.11548,0.69879,0.71844,0.71756,0.57129,0.98558,1.39148,1.32136,0.0522987,0.00529871,0.00529871
3,953.391,0.8291,1.09567,1.09362,0.75588,0.70444,0.731,0.56875,1.0967,1.4965,1.42888,0.0279922,0.00799219,0.00799219
4,1209.13,0.83964,1.08738,1.08834,0.74821,0.69154,0.75569,0.55654,1.15167,2.73498,1.43853,0.00997803,0.00997803,0.00997803
5,1491.67,0.86094,1.0018,1.09428,0.74914,0.73773,0.75542,0.55619,1.19159,1.92121,1.46533,0.00996097,0.00996097,0.00996097
6,1734.76,0.89689,0.91289,1.10537,0.77096,0.78131,0.79077,0.58696,1.13176,2.46386,1.52011,0.00993906,0.00993906,0.00993906
7,2018.18,0.85855,0.84612,1.07558,0.75216,0.72144,0.7526,0.55442,1.17045,1.43321,1.48487,0.00991232,0.00991232,0.00991232
8,2367.17,0.86984,0.83408,1.09935,0.76856,0.77453,0.7902,0.59621,1.11715,1.36512,1.47202,0.00988079,0.00988079,0.00988079
9,2711.55,0.86978,0.81012,1.09438,0.7943,0.80064,0.79635,0.6023,1.11077,1.27146,1.44202,0.00984449,0.00984449,0.00984449
10,3064.29,0.85644,0.80972,1.08591,0.82308,0.79769,0.80938,0.61441,1.05336,1.25249,1.41166,0.00980345,0.00980345,0.00980345
11,3429.82,0.83865,0.79033,1.08188,0.79739,0.78418,0.77919,0.57895,1.14862,1.23954,1.47251,0.00975773,0.00975773,0.00975773
12,3712.68,0.8383,0.76923,1.08603,0.81123,0.79852,0.79979,0.59391,1.18374,1.46682,1.53293,0.00970736,0.00970736,0.00970736
13,3937.56,0.82279,0.76131,1.08555,0.82307,0.84033,0.81343,0.62434,1.09367,1.22441,1.4279,0.00965239,0.00965239,0.00965239
14,4164.63,0.84033,0.74948,1.09623,0.82827,0.8224,0.81982,0.63024,1.0517,1.2342,1.40305,0.00959289,0.00959289,0.00959289
15,4389.21,0.81301,0.73337,1.07286,0.84214,0.78275,0.80785,0.61561,1.0911,1.25524,1.43504,0.00952889,0.00952889,0.00952889
16,4614.98,0.8413,0.77604,1.10851,0.82043,0.81018,0.80454,0.61828,1.06572,1.2203,1.41303,0.00946048,0.00946048,0.00946048
17,4841.41,0.81376,0.73697,1.08379,0.81725,0.83456,0.81358,0.61064,1.12917,1.23393,1.48314,0.00938772,0.00938772,0.00938772
18,5067.26,0.81674,0.74556,1.07778,0.82415,0.82743,0.81072,0.63277,1.00336,1.16157,1.37107,0.00931067,0.00931067,0.00931067
19,5292.33,0.79768,0.71794,1.07422,0.84027,0.79072,0.80868,0.61891,1.06857,1.13681,1.45122,0.00922942,0.00922942,0.00922942
20,5516.72,0.80531,0.68859,1.07687,0.83156,0.81898,0.81431,0.6339,1.0539,1.15224,1.40877,0.00914405,0.00914405,0.00914405
21,5739.73,0.78898,0.70492,1.07124,0.82585,0.83794,0.81698,0.63026,1.07359,1.20471,1.45398,0.00905463,0.00905463,0.00905463
22,5965.26,0.79758,0.70157,1.06499,0.83309,0.82901,0.81928,0.64351,1.02079,1.21286,1.38563,0.00896127,0.00896127,0.00896127
23,6188.72,0.77115,0.66564,1.06487,0.8197,0.81841,0.80348,0.61762,1.05553,1.20221,1.43595,0.00886404,0.00886404,0.00886404
24,6412.66,0.78746,0.65873,1.05737,0.82461,0.84589,0.81945,0.63309,1.05568,1.22971,1.42034,0.00876305,0.00876305,0.00876305
25,6636.16,0.75975,0.67895,1.05751,0.86136,0.82734,0.83099,0.65278,1.04184,1.13172,1.39615,0.00865839,0.00865839,0.00865839
26,6860.19,0.75961,0.63687,1.04824,0.81173,0.83775,0.81896,0.64079,1.04507,1.18495,1.39448,0.00855018,0.00855018,0.00855018
